"x" "y"
16.9166666666667 48.0833333333333
15.4166666666667 48.25
13.75 47.0833333333333
13.5833333333333 46.9166666666667
14.25 47.0833333333333
16.25 48.25
15.5833333333333 48.4166666666667
16.9166666666667 47.9166666666667
16.4166666666667 48.25
16.5833333333333 48.25
16.75 47.75
16.25 47.75
16.75 48.0833333333333
15.9166666666667 47.75
16.75 47.9166666666667
16.4166666666667 47.25
16.75 48.5833333333333
11.25 47.25
16.9166666666667 48.25
16.25 47.9166666666667
16.4166666666667 47.0833333333333
16.25 47.25
16.4166666666667 48.0833333333333
16.5833333333333 47.75
16.9166666666667 47.75
16.5833333333333 47.9166666666667
16.0833333333333 47.9166666666667
15.4166666666667 47.0833333333333
15.0833333333333 48.75
16.25 48.0833333333333
10.5833333333333 47.25
19.25 43.75
18.25 44.4166666666667
18.4166666666667 43.9166666666667
17.25 44.5833333333333
18.4166666666667 44.4166666666667
18.0833333333333 44.5833333333333
18.25 44.5833333333333
18.5833333333333 44.4166666666667
18.25 43.75
17.25 45.0833333333333
19.4166666666667 43.5833333333333
18.4166666666667 44.25
4.75 50.9166666666667
3.08333333333331 50.9166666666667
3.25 51.25
3.25 50.75
4.25 51.25
4.25 51.0833333333333
27.25 42.75
26.5833333333333 43.5833333333333
23.25 42.4166666666667
26.9166666666667 43.25
26.0833333333333 43.75
24.75 42.5833333333333
25.9166666666667 43.75
23.25 42.75
23.4166666666667 42.9166666666667
22.5833333333333 42.75
24.75 42.25
25.4166666666667 42.5833333333333
23.4166666666667 42.0833333333333
23.25 42.5833333333333
23.25 42.0833333333333
27.9166666666667 43.25
23.25 42.9166666666667
23.25 43.75
25.25 42.9166666666667
22.9166666666667 43.9166666666667
23.25 42.25
22.5833333333333 42.25
23.4166666666667 42.75
24.4166666666667 42.5833333333333
23.4166666666667 42.5833333333333
23.0833333333333 42.5833333333333
23.75 42.0833333333333
23.0833333333333 42.4166666666667
23.75 43.0833333333333
22.9166666666667 43.5833333333333
23.75 42.25
23.75 42.4166666666667
30.5833333333333 51.25
7.08333333333331 46.0833333333333
7.58333333333331 47.5833333333333
6.08333333333331 46.25
9.41666666666666 47.0833333333333
8.08333333333331 47.25
6.25 46.5833333333333
9.08333333333331 47.4166666666667
7.91666666666666 47.25
18.25 49.75
17.4166666666667 48.9166666666667
16.5833333333333 49.4166666666667
18.0833333333333 49.9166666666667
17.5833333333333 49.4166666666667
15.0833333333333 50.9166666666667
16.0833333333333 49.4166666666667
17.25 49.0833333333333
16.5833333333333 48.75
13.4166666666667 49.75
16.25 49.4166666666667
18.4166666666667 49.9166666666667
16.5833333333333 49.25
14.4166666666667 50.0833333333333
17.25 48.9166666666667
17.0833333333333 48.75
16.4166666666667 49.25
12.9166666666667 49.4166666666667
17.9166666666667 49.5833333333333
17.0833333333333 48.9166666666667
14.4166666666667 48.9166666666667
13.9166666666667 49.25
14.0833333333333 49.25
16.0833333333333 49.25
13.75 49.4166666666667
14.25 49.5833333333333
16.0833333333333 48.9166666666667
17.4166666666667 49.0833333333333
17.5833333333333 49.0833333333333
14.4166666666667 49.0833333333333
13.75 49.25
17.9166666666667 49.4166666666667
18.0833333333333 49.75
18.25 49.9166666666667
15.9166666666667 50.25
13.5833333333333 50.4166666666667
13.4166666666667 50.4166666666667
14.0833333333333 50.5833333333333
14.75 50.25
11.5833333333333 48.0833333333333
11.9166666666667 51.4166666666667
11.4166666666667 48.0833333333333
12.0833333333333 51.4166666666667
9.58333333333331 54.25
11.4166666666667 48.25
12.0833333333333 51.9166666666667
12.0833333333333 49.0833333333333
8.25 49.75
9.75 54.25
13.0833333333333 48.25
8.25 50.0833333333333
8.91666666666666 50.0833333333333
8.58333333333331 49.4166666666667
7.91666666666666 49.9166666666667
7.58333333333331 50.9166666666667
10.4166666666667 48.25
12.0833333333333 49.25
14.25 51.0833333333333
7.25 50.25
